Cód.,Cód. Fab.,Descripción,Rubro,Marca,Stock,Precios con IVA (DOLAR (U$S)),Descripción Detallada,Descripción Larga
24342,PASTA002,Acople universal de ravioles c/accesorio cortante -Cuk by Gadnic Ravioricca (PASTA002),Bazar y Hogar,Gadnic,Si,13.79,,"La RAVIORICCA está diseñada para inspirar creatividad y ampliar la experiencia culinaria en casa. Traemos un clásico único pero familiares a su cocina, con el objetivo de despertar nuevas ideas y enriquecer el proceso de cocción.
Estamos motivados por el amor a la cocina gourmet de todo el mundo y estamos comprometidos a ofrecer los mejores productos para nuestros clientes.

Características
Marca:	gadnic
Modelo:	pasta002
SKU:	PASTA002
EAN:	7799219005120
Color	Cromada
Tipo	Acople de ravioles

Especificaciones
Modelo Universal
Desmontable
Fácil acople
Incluye cortante para masa
Medidas: 14,5 x 10,5 x 7 [cm]
Material: Plástico y acero inoxidable

Garantía: 36 meses

Se entrega con:
1 x Acople para ravioles
1 x Cortante doble
1 x Manual de usuario"
17192,NM-C95,Adaptador Activo Dvi-D 24+1 (M) A Vga (H) -Netmak (NM-C95),Adaptadores,Netmak,Si,6.66,,"CONVERSOR / ADAPTADOR ACTIVO DVI-D 24+1 MACHO A VGA HEMBRA NM-C95 

Ahora podés usar tu salida digital DVI-D Dual Link 24+1 en cualquier monitor o proyector con entrada analógica VGA.
Convierte la señal digital de la saliDa DVI-D 24+1 Dual Link, en una salida analógica VGA para cualquier monitor o proyector.
Para utilizar desde una salida digital DVI-D a una entrada analógica VGA, no se puede utilizar en forma inversa (saldida VGA, entrada DVI)."
22153,NSRIM2U,Adaptador M.2 a usb 3.0 p/riser -mineria -c/destornillador -Nisuta (NSRIM2U),Placas / Puertos / Controladoras / Hub usb,Nisuta,Si,0.51,,"Adaptador de M.2 a USB 3.0 PCIe para riser, ideal mineria
? Ideal para generar un puerto USB 3.0 PCIe extra desde un slot M.2 y conectar un riser extra para minería de criptomonedas
? La interfaz M.2 adopta la Tecnologia de Inmersión Dorada, para asegurar transmisión de datos más estable
? Convierte la interfaz M.2 en la interfaz USB 3.0 de alta velocidad
? No necesita cable de alimentación
? Fuerte estabilidad y Buena compatibilidad
? Soporta diferentes tamaños de tarjetas M.2 permitiendo quebrarla y adaptar según la longitud 2260/2280
? Incluye destornillador y tornillo para la instalación
? No necesita driver, soporta todos los sistemas operativos. "
18241,UE330,Adaptador USB 3.0 M a RJ-45 H Ethernet gigabit c/hub usb 3 puertos 3.0 -white -TP-Link (UE330),Conectividad Placas De Red,TP-Link,Si,32.09,,"Incorpora 3 puertos adicionales USB 3.0* que apoyan la velocidad de transferencia de hasta 5 Gbps, 10 veces más rápido que USB 2.0
Proporciona conectividad de red Ethernet Gigabit compatible con velocidades de transferencia de hasta 1000 Mbps
Compacto y ligero
Plug and Play*
Estabilidad y compatibilidad mejorada"
19084,KCA314 600209,Adaptador audio 1 plug 3.5mm 4 contactos a 2 jack 3.5mm -audio splitter -black -Kolke (KCA314 600209),Adaptadores,Kolke,Si,0.88,,"Adaptador audio Kolke (KCA314 600209)

Adaptador ideal para conectar tu auriculares con 2 salidas 3.5mm (Audio y Micrófono)
Podés también compartir tu música conectado 2 auriculares a este adaptador, y éste a tu celular o cualquier dispositivo!

Este adaptador auriculares doble tiene conexión de 3,5mm a 2 conexiónes 3.5mm - sirve con cualquier dispositivo portátil que utilice un solo jack de 3.5mm.

Este jack 3.5 divisor es ideal para escuchar música, vídeos o juegos favoritos dos personas desde un mismo dispositvo ya que se pueden conectar dos pares de auriculares.

No baja la calidad del sonido al usarlos simultáneamente

- 1 plug 3.5mm Macho de 4 contactos
- 2 plug 3.5mm Hembra de 3 contactos"
21911,UB500,Adaptador bluetooth 5.0 -usb 2.0 -hasta 10mts -ultra slim -black -TP-Link (UB500),Conectividad Ir Y Bluetooth,TP-Link,Si,6.76,Adaptador Bluetooth 5.0 Nano Usb 2.0 Ultra slim TP-Link (UB500),"UB500 | Adaptador Nano USB Bluetooth 5.0

- Bluetooth 5.0: aplica la última tecnología Bluetooth 5.0, compatible con versiones anteriores de Bluetooth V4.0 / 3.0 / 2.1 / 2.0 / 1.1
- Conectividad inalámbrica: proporciona una comunicación estable y conveniente entre los dispositivos Bluetooth y su PC o ordenador portátil
- Tamaño nanométrico: ultrapequeño  para una portabilidad conveniente con un alto rendimiento confiable
- Sistema operativo compatible: Windows 10 / 8.1 / 7

El UB500 convierte PCs y laptops sin Bluetooth en dispositivos con capacidad Bluetooth. Simplemente conecta tus dispositivos Bluetooth a tu computadora y disfrútalos con facilidad. Soporta hasta 7 dispositivos Bluetooth simultáneamente con una potente conexión inalámbrica. Puedes transferir archivos, música, videos entre tus dispositivos Bluetooth y tu PC con velocidades de transmisión 2 veces más rápidas.

CARACTERÍSTICAS DE HARDWARE
Estándares y Protocolos 	Bluetooth 5.0
Interfaz 	USB 2.0
Dimensions 	0.58 × 0.27 × 0.74 in (14.8 × 6.8 × 18.9 mm)

Otros
Contenido del Paquete 	Adaptador Nano USB Bluetooth 5.0 UB500

Guía de Instalación Rápida
Requisitos del sistema 	Los sistemas operativos compatibles incluyen Win 10 / 8.1 / 7
Factores Ambientales 	Temperatura de funcionamiento: 0 ? ~ 40 ? (32 ? ~ 104 ?)
Humedad de funcionamiento: 10% ~ 90% sin condensación
Humedad de almacenamiento: 5% ~ 90% sin condensación"
21896,NM-BT9,Adaptador bluetooth 5.0 -usb 2.0 -hasta 50mts -ultra slim -black -Netmak (NM-BT9),Conectividad Ir Y Bluetooth,Netmak,Si,4.14,,"Adaptador Mini Usb Bluetooth 5.0
- Compatible con todos los sistemas operativos
- No requiere drivers
- Velocidad: 3Mbps
- Soporta: Networking, Dial-up, Fax, LAN access
- Conexión USB: 2.0
- Alcance: 20m - 50m
- Compatibilidad al 100%
- Permite múltiples idiomas"
24484,MA530 V1.2,Adaptador bluetooth 5.4 -nano usb -hasta 7 dispositivos -black -Tp-Link (Mercusys) MA530 V1.2,Conectividad Ir Y Bluetooth,Tp-Link (Mercusys),Si,3.55,,"Adaptador nano USB Bluetooth 5.4

? Bluetooth 5.4 : ofrece estabilidad mejorada, compatibilidad más amplia y velocidades de transmisión más rápidas

? Conectividad inalámbrica: proporciona una comunicación estable y conveniente entre dispositivos Bluetooth y su PC o computadora portátil

? Tamaño nanométrico: ultrapequeño para una portabilidad conveniente con un alto rendimiento confiable

? Compatibilidad con versiones anteriores: funciona con dispositivos compatibles con la versión anterior de Bluetooth

? Bluetooth Low Energy: minimiza el consumo de energía, lo que facilita la conexión de sus dispositivos Bluetooth y permite disfrutar de un rendimiento perfecto.

? Sistema operativo compatible: Windows 11/10/8.1/7

? Hasta 7 dispositivos conectados al mismo tiempo:
MA530 tiene una potente conexión inalámbrica y puede admitir hasta siete dispositivos Bluetooth simultáneamente."
22404,UE300C,Adaptador lan TYPE-C M a 1 port 10/100/1000Mbps RJ-45 H -Ethernet Gigabit -white -TP-Link (UE300C),Conectividad Placas De Red,TP-Link,Si,16.25,,"UE300C
Adaptador de red USB Type-C a RJ45 Gigabit Ethernet

- Ideal para portátiles, tabletas y la mayoría de los dispositivos web alimentados por USB-C para acceder a la red cableada
- La solución USB 3.0 y Gigabit más rápida garantiza una tasa de transferencia de alta velocidad de hasta 1000 Mbps.
- Plug and Play en Windows 11 / 10, Mac OS X (10.9 y posterior), Chrome OS y Linux OS.
- El diseño plegable y portátil se adapta perfectamente a su Ultrabook

Especificaciones
Dimensiones
71 x 26 x 16.2mm (2.8 x 1.0 x 0.6 in.)

Interfaz de Entrada
1 Puerto 10/100/1000Mbps RJ45 Ethernet

Interfaz de Salida
1 Puerto USB 3.0

Chipset
RTL8153

Sistemas Soportados
Windows 11/10/8.1/8/7
Mac OS
Chrome OS
Linux (Ubuntu)

Contenido de Paquete
Adaptador de red USB tipo C a Gigabit Ethernet.

Guía del usuario
Para más información sobre su versión de hardware, por favor, vaya a la página de soporte, y consulte el datasheet de su versión."
21943,UE200,Adaptador lan USB 2.0 M a RJ-45 H Ethernet 10/100 -white -TP-Link (UE200),Conectividad Placas De Red,TP-Link,Si,12.16,,"Extiende la Conectividad
Diseño Plegable y Portátil
Conexión de Datos Rápida y Estable
Plug & Play con Compatibilidad Incrementada

CARACTERÍSTICAS DE HARDWARE
Dimensiones 	71 x 26 x 16.2mm (2.8 x 1.0 x 0.6 in.)
Interfaz de Salida 	1 Puerto Ethernet RJ45 10/100Mbps
Interfaz de Entrada 	1 Puerto USB 2.0
Chipset 	RTL8152B

Sistemas Soportados
Windows XP/Vista/7/8/8.1/10, Mac OS X 10.5/10.6/10.7/10.8/10.9/10.10, Sistemas Basados en Linux

Contenido del Paquete 
Adaptador de Red USB 2.0 a Ethernet 100Mbps Guía de Instalación Rápida "
22337,UE306,Adaptador lan USB 3.0 M a RJ-45 H Ethernet 10/100/1000Mbps -black -TP-Link (UE306),Conectividad Placas De Red,TP-Link,Si,11.94,Adaptador lan USB 3.0 M a RJ-45 H Ethernet TP-Link (UE306),"UE306 | Adaptador de red USB 3.0 a Gigabit Ethernet

- La solución USB 3.0 y Gigabit más rápida garantiza una tasa de transferencia de alta velocidad
- Plug and Play en Nintendo Switch, Windows 10/8.1 y SO Linux
- El diseño plegable y portátil se adapta perfectamente a su Ultrabook
- Compatible con Nintendo Switch: disfruta de los juegos con tus amigos y descargas rápidas al conectarlo a tu base de Nintendo Switch y agregar una conexión Gigabit Ethernet.

El mejor amigo de todo jugador:

Simplemente conectando la interfaz USB 3.0, UE306 ayuda a conectar su Nintendo Switch a un sistema de red con cable, un entorno de red mucho más rápido y estable que una conexión WiFi. Disfruta de descargas súper rápidas y de alta calidad en tu Nintendo Switch.

Dar conexiones de Internet por cable a dispositivos USB:

Proporcione a su computadora portátil, computadora y otros dispositivos web USB acceso a conexiones de red por cable conectándose al módem, enrutador o conmutador de red. Está diseñado para que la mayoría de los dispositivos actuales disfruten de potentes conexiones de red alámbricas instantáneas, ideal para aquellos que no tienen un puerto Ethernet RJ45 incorporado.

Diseño plegable y ligero.
Peso: 20 g / 0,71 oz
Tamaño: 2,8 x 1,0 x 0,6 pulg. (71 x 26 x 16,2 mm)

Especificaciones:

Dimensiones
2.8 x 1.0 x 0.6 in. (71 x 26 x 16.2mm)

Interfaz de Entrada
1 puerto Ethernet RJ45 de 10/100/1000 Mbps

Interfaz de Salida 
1 puerto USB 3.0

Chipset
AX88179

Sistemas Soportados
Nintendo Switch
Windows 10/8.1/8/7
Linux OS

Contenido de Paquete
Adaptador de red USB 3.0 a Gigabit Ethernet, Guía de Instalación Rápida

Otros
Certificaciones
CE, FCC, RoHS

Environment
· Temperatura de funcionamiento: 0 ? ~ 40 ? (32 ? ~ 104 ?)
· Temperatura de almacenamiento: -40 ? ~ 70 ? (-40 ? ~ 158 ?)
· Humedad de funcionamiento: 10% ~ 90% sin condensación
· Humedad de almacenamiento: 5% ~ 90% sin condensación"
23385,UC400,Adaptador type-C a usb 3.0 M/H -cable 10cm -white -Tp-Link (UC400),Adaptadores,TP-Link,Si,06.07,,"USB-C 3.0 Super Rápido a Adaptador USB-A
Utilizar su dispositivo USB fácilmente

Compatibilidad con OTG (On The Go)
Compatible con controladores de USB y otros dispositivos USB que soporte USB On-The-Go, tales como transferencia de imágenes desde el lector de tarjetas para la Tablet/Móviles con puerto de USB-C

Compatibilidad universal
Compatible con dispositivos con sistemas operativos Windows, macOS, Chrome OS, Linux OS y Andorid, etc.
macOS
 

Añadir puerto USB-A 3.0 para los dispositivos


CARACTERÍSTICAS DE HARDWARE
Compatibilidad	Windows, macOS, Chrome OS, Linux OS y Android 6.0
Interfaz de salida	Puerto USB-A 3.0
Interfaz de entrada	Conector USB-C 3.0
OTROS
contenidos del paquete	Super Rápido USB-C 3.0 a adaptador USB-A"
4002,HE-2020,Adaptador usb 2.0 p/hdd sata/ide/mini ide -Noganet (HE-2020),Adaptadores,Noganet,Si,12.34,,"- Alta velocidad USB 2.0 (480 Mb bit/seg)
- USB 2.0 soporta interfase WINDOWS 2000/ME/XP y sistema Mac OS
- Plug & Play sin la instalación del driver
- WIN 98 SE (adjunto un driver para un USB adicional)
- Soporta 2.5"", 3.5"", 5.25"" IDE y SATA HDD
- Soporta ULTRAATA/133 AND UDMA5 compatible
- Interfase Serial ATA can used as CD-ROM
- Soporta SERIAL ATA 1.0 spec. Compatible con ULTRA
- ATA/133
- Tasa de transferencia de 150MBIT/SEG"
22267,MU6H,Adaptador wireless 433+200Mbps -dual band 2.4/5GHz -antena 5dbi -AC650 -TP-Link (Mercusys) (MU6H),Conectividad Placas De Red,Tp-Link (Mercusys),Si,8.59,,"MU6H
AC650 High Gain Wireless Dual Band USB Adapter
    High-Speed Dual-Band Wi-Fi: 256-QAM support increases the 2.4 GHz data rate from 150 Mbps to 200 Mbps. Enjoy speeds of up to 200 Mbps on the 2.4 GHz band and 433 Mbps on the 5 GHz band, to take full advantage of your AC Wi-Fi.
    High-Gain Antenna: A 5dBi high-gain antenna greatly enhances the reception and transmission strength of the USB adapter
    Internal Driver: Smart easy-install for Windows operating system
    Supports the Latest Operating Systems: Fully compatible with Windows 10/8.1/8/7/XP

Wireless
Wireless Standards
    IEEE 802.11b/g/n
    IEEE 802.11a/n/ac

Frequency
    2400 MHz -2483.5 MHz
    5150 MHz -5250 MHz
    5250 MHz -5350 MHz
    5470 MHz -5725 MHz

Signal Rate
    ? 11ac: Up to 433Mbps (Dynamic)
    ? 11n: Up to 200Mbps (Dynamic)

Reception Sensitivity
    ? 433M: -62dBm@10% PER
    ? 200M: -65dBm@10% PER
    ? 54M: -75 dBm@10% PER
    ? 11M: -90 dBm@8% PER

Wireless Security
    WEP, WPA/WPA2,
    WPA-PSK/ WPA2-PS,
    802.1X

Hardware
Dimensions (W X D X H)
    2.28 × 0.66 × 6.83 in
    (57.8 × 16.8 × 173.4 m)

Interfaces
    USB 2.0

Antenna Type
    1 External High Gain
    5dBi Antenna

LED
    Status

Others
Package Contents
    1. AC650 High Gain Wireless Dual Band USB Adapter ( MU6H )
    2. Quick Installation Guide

System Requirements
    Windows10/8.1/8/7/XP"
7615,TL-WN781ND,Adaptador wireless PCI-E -150Mbps -antena desmontable -TP-Link (TL-WN781ND),Conectividad Placas De Red,TP-Link,Si,8.6,,"El TL-WN781N de TP-LINK está diseñado para proporcionar un rendimiento inalámbrico integral desde el servidor o backbone del servidor hasta la infraestructura del conmutador pasando por el ordenador con el conector PCI Express. El Adaptador Inalámbrico TL-WN781N Lite N PCI Express(x1) ofrece una alta compatibilidad, se adapta a cualquier ranura PCI Express estándar, x1, x4, x8, o x16. Comparado con las tarjetas de red PCI estándar, ofrece más ancho de banda, fiabilidad y funcionalidad, permitiéndole disfrutar una conexión rápida y avanzada, para sus descargas, llamadas por Internet o video streaming.

Compatible con los estándares IEEE 802.11n, 802.11g y 802.11b, el Adaptador Inalámbrico TL-WN781N Lite N PCI Express puede adaptarse a todos los dispositivos 802.11n/b/g. Con WMM basada en IEEE 802.11e, proporciona QoS (Calidad de servicio) y prioriza el tráfico de red. Además, la función ?WMM Power Save? garantiza un bajo consumo de energía para un funcionamiento ecológico.

El TL-WN781N cuenta con la función de configuración rápida de seguridad ?Quick Security Setup? (QSS), ideal para establecer una conexión eficiente y segura que impide accesos no autorizados al tiempo que maximiza los recursos de gestión. Con sus antenas externas desmontables, el TL-WN781N se adapta a distintos entornos y garantiza una instalación sencilla.

Este dispositivo cuenta con un CD autoejecutable que proporciona información detallada paso a paso para establecer la conexión a Internet, de forma rápida y sencilla al alcance de cualquier usuario, incluso los más inexpertos.

¿Por qué es mejor la tecnología AlignTM?

AlignTM es una tecnología desarrollada por Atheros Communications, Inc, empresa líder en el desarrollo de soluciones de sistemas de semiconductores avanzados para las comunicaciones inalámbricas o por cable. Basada en las especificaciones del borrador IEEE 802.11n 1-stream, la característica ?single-stream? (un solo flujo), permite una nueva clase de dispositivos Wi-Fi® que ofrecen mejoras en el rendimiento en comparación con la tecnología 802.11g actual, a precios similares. Las soluciones Align son compatibles con versiones de mayor rendimiento, multiflujo, basadas en MIMO 802.11n ? y proporcionan el mejor sistema de actualización para modelos básicos WLAN . Los usuarios que migran de productos 802.11g a productos basados en la tecnología Align 1-stream disfrutarán de un mayor rendimiento en sus redes domésticas.

Características:
* Adopta tecnología AlignTM, con velocidad de transmisión de hasta 150Mbps
* Con un conector PCI Express que ofrece mayor compatibilidad con cualquier ranura PCI Express estándar.
* Soporta la función Quick Secure Setup, compatible con WPS para obtener una seguridad inalámbrica sin problemas
* Soporta 64/128/152-bit WEP, WPA /WPA2/WPA-PSK/WPA2-PSK(TKIP/AES), soporta IEEE 802.1X
* Soporta tecnología Roaming, que garantiza una conexión inalámbrica ininterrumpida
* Soporta modo Ad-Hoc y modo Infraestructura
* Plenamente compatible con productos 802.11b/g/n
* Soporta Windows 2000, Windows XP 32/64bit, Vista 32/64bit"
23445,ARCHER T2E,Adaptador wireless PCI-E -200/433Mbps -dual band -antena desmontable -TP-Link (ARCHER T2E),Conectividad Placas De Red,TP-Link,Si,14.35,,"- WiFi de doble banda AC600: aproveche al máximo su red con velocidades de Wi-Fi de hasta 600 Mbps (433 Mbps en la banda de 5 GHz y 200 Mbps en la banda de 2,4 GHz)

- Compatible con MU-MIMO: aumente el rendimiento y la eficiencia de la red cuando se trabaja con un enrutador MU-MIMO compatible

- Amplio rango inalámbrico: conéctese a su Wi-Fi en más partes de su hogar con una potente antena de alta ganancia que aumenta la señal

- Compatible con WPA3: mejore la ciberseguridad con una protección más segura e individualizada

- Soportes de bajo perfil y altura completa: las opciones personalizadas le brindan la flexibilidad de encontrar un soporte que se adapta perfectamente. "
