Codigo,Codigo_Fabricante,Descripcion,Rubro,Marca,Stock,Precio_Original_USD,Categoria,Precio_Final_USD,Ganancia_Unitaria_USD,Margen_Porcentaje
24485,ARCHER TX1U NANO,Adaptador wireless USB -287 Mbps -2.4GHz -nano usb 2.0 -MU-MIMO -OFDMA -black -TP-Link AX3000 (ARCHER TX1U NANO),Conectividad Placas De Red,TP-Link,Si,7.75,2,12.87,5.12,66.0
11389,TL-WN8200ND,Adaptador wireless USB -300Mbps -doble antena -TP-Link (TL-WN8200ND),Conectividad Placas De Red,TP-Link,Si,16.72,3,23.41,6.69,40.0
19054,NM-CS300,Adaptador wireless USB -300Mbps -mini adapter -Netmak (NM-CS300),Conectividad Placas De Red,Netmak,Si,6.00,1,12.00,6.00,100.0
10927,TL-WN823N,Adaptador wireless USB -300Mbps -mini adapter -TP-Link (TL-WN823N),Conectividad Placas De Red,TP-Link,Si,9.25,2,15.36,6.11,66.0
19068,ARCHER T2U PLUS,Adaptador wireless USB -433+200Mbps -dual band 2.4/5GHz -antenas 5dbi -AC600 -TP-Link (ARCHER T2U PLUS),Conectividad Placas De Red,TP-Link,Si,14.48,3,20.27,5.79,40.0
14327,ARCHER T2U,Adaptador wireless USB -600Mbps (433+200) -mini adapter -TP-Link (ARCHER T2U),Conectividad Placas De Red,TP-Link,Si,10.87,2,18.04,7.17,66.0
24414,UB500 Plus,Adaptador wireless USB -bluetooth 5.3 -antena multidireccional ajustable -usb 2.0 -black -TP-Link (UB500 Plus),Conectividad Ir Y Bluetooth,TP-Link,Si,6.63,2,11.01,4.38,66.0
23930,NM-CS1200,Adaptador wireless USB -dual band 2.4/5.8Ghz -1200Mbps -free driver -doble antena -Netmak (NM-CS1200),Conectividad Placas De Red,Netmak,Si,14.02,3,19.63,5.61,40.0
23394,NM-CS602,Adaptador wireless USB -dual band 2.4/5Ghz -600Mbps -mini adapter -Netmak (NM-CS602),Conectividad Placas De Red,Netmak,Si,10.15,2,16.85,6.70,66.0
20719,NM-CS154,Adaptador wireless USB 150Mbps -wifi -2.4GHz -diseño mini -antena receptora -black -Netmak (NM-CS154),Conectividad Placas De Red,Netmak,Si,5.42,1,10.84,5.42,100.0
19713,ARCHER T2U NANO,Adaptador wireless USB 200/433Mbps -dual band 2.4/5GHz -usb 2.0 -diseño mini -black -TP-Link AC600 (ARCHER T2U NANO),Conectividad Placas De Red,TP-Link,Si,10.62,2,17.63,7.01,66.0
23573,ARCHER T2UB NANO,Adaptador wireless USB 200/600Mbps -dual band 2.4/5GHz -usb 2.0 -diseño mini -black -TP-Link AC600 (ARCHER T2UB NANO),Conectividad Placas De Red,TP-Link,Si,11.76,2,19.52,7.76,66.0
24525,ARCHER TX10UB NANO,Adaptador wireless USB 287/600Mbps -dual band 2.4/5GHz -nano usb 2.0 -ultra veloz -wifi 6 -bluetooth 5.3 -antena omnidireccional -black -TP-Link AX900 (ARCHER TX10UB NANO),Conectividad Placas De Red,TP-Link,Si,12.62,2,20.95,8.33,66.0
17138,ARCHER T4U,Adaptador wireless USB 3.0 -dual band 2.4/5Ghz -1300Mbps (400+867) -AC1300 -TP-Link Archer T4U (ARCHER T4U),Conectividad Placas De Red,TP-Link,Si,21.55,3,30.17,8.62,40.0
22266,MW300UH,Adaptador wireless USB 300Mbps -2.4GHz -2 antenas MIMO -TP-Link (Mercusys) (MW300UH),Conectividad Placas De Red,Tp-Link (Mercusys),Si,8.20,2,13.61,5.41,66.0
23386,ARCHER T3U NANO,Adaptador wireless USB 400/867Mbps -wifi -dual band 2.4/5GHz -usb 2.0 -ultra veloz -diseño mini -black -TP-Link AC1300 (ARCHER T3U NANO),Conectividad Placas De Red,TP-Link,Si,16.50,3,23.10,6.60,40.0
20137,ARCHER T3U PLUS,Adaptador wireless USB 400/867Mbps -wifi -dual band 2.4/5GHz -usb 3.0 -ultra veloz -diseño mini -2 antenas alta ganancia -black -TP-Link MU-MIMO AC1300 (ARCHER T3U PLUS),Conectividad Placas De Red,TP-Link,Si,18.09,3,25.33,7.24,40.0
19113,ARCHER T3U,Adaptador wireless USB 400/867Mbps -wifi -usb 3.0 -ultra veloz -diseño mini -black -TP-Link MU-MIMO AC1300 (ARCHER T3U),Conectividad Placas De Red,TP-Link,Si,15.87,3,22.22,6.35,40.0
23578,ARCHER TX20U NANO,Adaptador wireless USB 574/1201Mbps -dual band 2.4/5GHz -usb 2.0 -ultra veloz -wifi 6 -diseño mini -black -TP-Link AX1800 (ARCHER TX20U NANO),Conectividad Placas De Red,TP-Link,Si,17.19,3,24.07,6.88,40.0
23574,ARCHER TX20U PLUS,Adaptador wireless USB 574/1201Mbps -dual band 2.4/5GHz -usb 3.0 -ultra veloz -wifi 6 -2 antenas -black -TP-Link AX1800 (ARCHER TX20U PLUS),Conectividad Placas De Red,TP-Link,Si,23.29,3,32.61,9.32,40.0
23575,ARCHER TX20UH,Adaptador wireless USB 574/1201Mbps -dual band 2.4/5GHz -usb 3.0 -ultra veloz -wifi 6 -2 antenas de alta ganancia -gray -TP-Link AX1800 (ARCHER TX20UH),Conectividad Placas De Red,TP-Link,Si,26.25,3,36.75,10.50,40.0
23576,ARCHER TX50UH,Adaptador wireless USB 574/2402Mbps -dual band 2.4/5GHz -usb 3.0 -ultra veloz -wifi 6 -2 antenas de alta ganancia -gray -TP-Link AX3000 (ARCHER TX50UH),Conectividad Placas De Red,TP-Link,Si,34.03,4,40.84,6.81,20.0
6047,TL-WN722N,Adaptadpor Wireless USB -150Mbps -antena desmontable 4dbi -TP-Link (TL-WN722N),Conectividad Placas De Red,TP-Link,Si,10.29,2,17.08,6.79,66.0
24301,KEMEI008,Afeitadora inalambrica -bat. recargable -black -Kemei by Gadnic Km-2026 (KEMEI008),Electrodomesticos,Gadnic,Si,32.45,4,38.94,6.49,20.0
24304,CORTPE11,Afeitadora inalambrica -bat. recargable 600mAh -resistente al agua -black -Care by Gadnic T8000 (CORTPE11),Electrodomesticos,Gadnic,Si,27.74,3,38.84,11.10,40.0
24302,DEPI0009,Afeitadora inalambrica -bat. recargable 800mAh -recortadora desplegable -resistente al agua -black -Care by Gadnic DW2000 (DEPI0009),Electrodomesticos,Gadnic,Si,46.72,4,56.06,9.34,20.0
24303,DEPI0014,Afeitadora y cortadora de pelo inalambrica 5 en 1 -bat. recargable -resistente al agua IPX7 -ergonomica -black/blue -Care by Gadnic 5 in 1 (DEPI0014),Electrodomesticos,Gadnic,Si,42.45,4,50.94,8.49,20.0
16149,NKB-AIR-RGB,Air Mouse + control remoto + teclado -wireless 2.4ghz -sensor de movimiento + giroscopio -para pc-smart tv/android tv box/deco tv/tablet -Noganet Air Mouse (NKB-AIR-RGB),Teclados P/ SmartTV/Multidispositivo,Noganet,Si,8.28,2,13.74,5.46,66.0
24305,VINO0004,Aireador de Vino -decantador instantaneo -presentacion en caja elegante -acrilico y silicona -Gadnic V014594 (VINO0004),Bazar y Hogar,Gadnic,Si,6.15,1,12.30,6.15,100.0
24308,VINO0006,Aireador de Vino -decantador instantaneo -presentacion en caja elegante -c/base para copa -filtro de acero inoxidable -Gadnic (VINO0006),Bazar y Hogar,Gadnic,Si,12.50,2,20.75,8.25,66.0
24309,ALCAR001,Alarma Universal p/motos y vehiculos -multitono -2 transmisores -Gadnic X105 (ALCAR001),Seguridad Alarmas,Gadnic,Si,14.67,3,20.54,5.87,40.0
23987,KVV-597 630275,Antena de TV digital -interior -HDTV -5 dbi -360 grad. omnidireccional -2.5C / 2V. -base magnetica -black -Kolke (KVV-597 630275),Electrodomesticos,Kolke,Si,6.39,2,10.61,4.22,66.0
24628,NM-APM,"Apoya Muñecas P/Teclado -gel -antideslizante -ergonomico -46,5 x 7 x 2 cm -black -Netmak (NM-APM)",Accesorios,Netmak,Si,6.95,2,11.54,4.59,66.0
7229,31090015100,Apuntador Inalambrico -2.4ghz -receptor usb -2x pila AAA -black -Genius Media Pointer 100 (31090015100),Accesorios,Genius,Si,22.35,3,31.29,8.94,40.0
24037,FOTO0037,Aro luz led -25cm -luz blanca natural / calida / fria -funcion multicolor RGB -c/accesorio p/celular -soporte de rotula -black -Gadnic SRG584 (FOTO0037),Accesorios,Gadnic,Si,13.33,2,22.13,8.80,66.0
24311,FOTO0038,Aro luz led -26cm -luz blanca natural / calida / fria -ajuste de brillo -c/accesorio p/3 dispositivos -soporte de rotula -black -Gadnic SRN892 (FOTO0038),Accesorios,Gadnic,Si,21.05,3,29.47,8.42,40.0
20534,NM-RL1,"Aro luz led 10"" p/smarpthone -usb -3 tipos de iluminacion -control en cable -c/tripode y accesorio p/celular -white -Netmak (NM-RL1)",Accesorios y Gadgets Geeks,Netmak,Si,8.64,2,14.34,5.70,66.0
23848,FOTO0002,"Aro luz led 18"" -46cm -control remoto -luz calida y fria (3300K/5600K) -c/accesorio p/celular -15V-18V(4A-5A) -black -Gadnic (FOTO002)",Accesorios y Gadgets Geeks,Gadnic,Si,149.04,4,178.85,29.81,20.0
24608,RIEGAUT7,Aspersor de Riego Automático -oscilante -4 modos -compacto -Gadnic MNJ16 (RIEGAUT7),Bazar y Hogar,Gadnic,Si,5.34,1,10.68,5.34,100.0
23850,AV000212,Aspiradora de mano -inalambrica -portatil -8.4V -60W -seco -filtro hepa -bat. recargable 1800mAH x2 -black -Gadnic GUN-12 (AV000212),Electrodomesticos,Gadnic,Si,26.11,3,36.55,10.44,40.0
23849,AV000014,Aspiradora de mano p/auto -portatil -12v -108W -seco -filtro hepa -cable 4.5mts -black -Gadnic (AV000014),Electrodomesticos,Gadnic,Si,20.90,3,29.26,8.36,40.0
23851,AV000018,Aspiradora de mano p/auto -portatil -12v -80W -mojado y seco -filtro hepa -cable 3mts -black -Gadnic (AV000018),Electrodomesticos,Gadnic,Si,10.53,2,17.48,6.95,66.0
24046,ROB00090,Aspiradora robot WIFI -control por app/control remoto -bat. auto-carga 2500mAh -capacidad 350ml -area de limpieza hasta 200m2 -sensor anti-caida y anti-colision -4 modos de limpieza -mapa 2D -black -Liectroux by Gadnic C30B (ROB00090),Electrodomesticos,Gadnic,Si,280.90,4,337.08,56.18,20.0
23853,DESELE01,Atornillador + accesorios -inalambrico -bat. recargable 1300 mAh Li-on -3.6V -18W -Gadnic Tools D5 Pro (DESELE01),Herramientas,Gadnic,Si,32.92,4,39.50,6.58,20.0
16832,NG-903RJ,Auricular -vincha ajustable -3.5 mm-ultra liviano -hi-fi -red -Noganet (NG-903),Auriculares Vincha c/cable,Noganet,Si,4.21,1,8.42,4.21,100.0
20617,NG-903V,Auricular -vincha ajustable -ultra liviano -hi-fi -green -Noganet (NG-903),Auriculares Vincha c/cable,Noganet,Si,4.84,1,9.68,4.84,100.0
20616,NG-903NR,Auricular -vincha ajustable -ultra liviano -hi-fi -orange -Noganet (NG-903),Auriculares Vincha c/cable,Noganet,Si,4.21,1,8.42,4.21,100.0
22704,NM-CAT,Auricular bluetooth -cable 3.5mm para función dual -bat. recargable 360mAh -diseño orejas gato luminosas -pink -Netmak Cat Lover (NM-CAT),Auriculares Vincha Bluetooth/Inalambricos,Netmak,Si,14.31,3,20.03,5.72,40.0
24108,NM-N25-W,Auricular c/microfono -3.5mm + usb (luces) -cable 2.2m -p/PC y consolas -iluminacion RGB -almohadillas acolchadas -gamer -white -Netmak (NM-N2-W5),Auriculares Vincha c/cable,Netmak,Si,17.29,3,24.21,6.92,40.0
23763,DHE-8006,Auricular c/microfono -Usb 7.1 -Rgb -Stereo Deep Bass c/efecto Surround -black HP DHE-8006 (DHE-8006),Auriculares Vincha c/cable,Hewlett Packard,Si,64.47,4,77.36,12.89,20.0
8497,31710151100,Auricular c/microfono -ajustable -black -Genius HS-200C (31710151100),Auriculares Vincha c/cable,Genius,Si,4.80,1,9.60,4.80,100.0
12554,981-000612,Auricular c/microfono -ajustable -black -Logitech Headset H111 (981-000612),Auriculares Vincha c/cable,Logitech,Si,13.99,3,19.59,5.60,40.0
14977,981-000587,Auricular c/microfono -ajustable -black -Logitech Headset H151 (981-000587),Auriculares Vincha c/cable,Logitech,Si,20.15,3,28.21,8.06,40.0
8498,31710146100,Auricular c/microfono -black -Genius HS-300N (31710146100),Auriculares Vincha c/cable,Genius,Si,8.36,2,13.88,5.52,66.0
24006,31710029400,Auricular c/microfono -cable 3.5mm -bluetooth 5.3 -bat. 300 mAh -black -Genius HS-810BT (31710029400),Auriculares Vincha Bluetooth/Inalambricos,Genius,Si,20.96,3,29.34,8.38,40.0
18473,31710007400,Auricular c/microfono -gamer -control en cable -black -Genius HS-G560 (31710007400),Auriculares Vincha c/cable,Genius,Si,24.65,3,34.51,9.86,40.0
23550,981-000863,Auricular c/microfono -gamer -usb-a 2.0 -lightspeed -lightsync rgb -almohadillas acolchadas viscoelásticas -audio inmersivo -sonido envolvente -black -Logitech G733 (981-000863),Auriculares Vincha c/cable,Logitech,Si,166.81,4,200.17,33.36,20.0
19960,31710015400,Auricular c/microfono -gamer -vibracion -control en cable 1.8mts -black -Genius HS-G600V (31710015400),Auriculares Vincha c/cable,Genius,Si,27.35,3,38.29,10.94,40.0
16879,NM-B21,Auricular c/microfono -hi-fi -manos libres -bluetooth -incluye cable usb -black -Netmak Urban (NM-B21),Auriculares Vincha Bluetooth/Inalambricos,Netmak,Si,11.39,2,18.91,7.52,66.0
23373,KAI-663 630485,Auricular c/microfono -intrauditivo -extra bass -aux. 3.5mm -cable 1.2mts -black -Kolke (KAI-663 630485),Auriculares Intrauditivos c/cable,Kolke,Si,1.68,1,3.36,1.68,100.0
23374,KAI-663 630488,Auricular c/microfono -intrauditivo -extra bass -aux. 3.5mm -cable 1.2mts -blue -Kolke (KAI-663 630488),Auriculares Intrauditivos c/cable,Kolke,Si,1.68,1,3.36,1.68,100.0
23376,KAI-663 630487,Auricular c/microfono -intrauditivo -extra bass -aux. 3.5mm -cable 1.2mts -pink -Kolke (KAI-663 630487),Auriculares Intrauditivos c/cable,Kolke,Si,1.68,1,3.36,1.68,100.0
23372,KAI-663 630486,Auricular c/microfono -intrauditivo -extra bass -aux. 3.5mm -cable 1.2mts -white -Kolke (KAI-663 630486),Auriculares Intrauditivos c/cable,Kolke,Si,1.68,1,3.36,1.68,100.0
24506,31710030400/31730034,Auricular c/microfono -intrauditivo -usb type-c -cable 1.2mts -black -Genius HS-M365 (31710030400 / 31730030400),Auriculares Intrauditivos c/cable,Genius,Si,8.36,2,13.88,5.52,66.0
24507,31710030401,Auricular c/microfono -intrauditivo -usb type-c -cable 1.2mts -white -Genius HS-M365 (31710030401),Auriculares Intrauditivos c/cable,Genius,Si,8.36,2,13.88,5.52,66.0
23773,NG-1600 BL,Auricular c/microfono -intrauditivos -manos libres -mini plug 3.5mm TRRS -cable flat 1.13mts -slim -white -Noganet EarBuds (NG-1600),Auriculares Intrauditivos c/cable,Noganet,Si,2.25,1,4.50,2.25,100.0
22832,NG-1700 BL,Auricular c/microfono -intrauditivos -manos libres -mini plug 3.5mm TRRS -cable flat 1.16mts -slim -white -Noganet EarBuds (NG-1700),Auriculares Intrauditivos c/cable,Noganet,Si,2.30,1,4.60,2.30,100.0
20146,NM-UR70P,Auricular c/microfono -intrauditivos -manos libres -pink -Netmak Urban Style  (NM-UR70P),Auriculares Intrauditivos c/cable,Netmak,Si,2.00,1,4.00,2.00,100.0
23253,31710025402,Auricular c/microfono -manos libres -HIFI -Touch Control -intrauditivos -bt 5.3 -bateria litio 40mAh -c/estuche cargador bat 200mAh/usb type-c -TWS -black -Genius HS-M905BT (31710025402),Auriculares Intrauditivos Bluetooth/Inalambricos,Genius,Si,14.57,3,20.40,5.83,40.0
23252,31710025400,Auricular c/microfono -manos libres -HIFI -Touch Control -intrauditivos -bt 5.3 -bateria litio 40mAh -c/estuche cargador bat 200mAh/usb type-c -TWS -white -Genius HS-M905BT (31710025400),Auriculares Intrauditivos Bluetooth/Inalambricos,Genius,Si,14.62,3,20.47,5.85,40.0
23251,31710024400,Auricular c/microfono -manos libres -intrauditivos -HIFI -bt 5.3 -bateria litio 40mAh -c/estuche cargador bat 300mAh/usb type-c -TWS -white -Genius HS-M920BT (31710024400),Auriculares Intrauditivos Bluetooth/Inalambricos,Genius,Si,21.53,3,30.14,8.61,40.0
23540,NG-BTWINS29 VR,Auricular c/microfono -manos libres -intrauditivos -TWS -Touch Control -bt 5.3 + EDR -bateria litio 40mAh c/estuche cargador bat 300mAh -cable usb type-C -ANC -Auto On & Auto Pairing -ultra small -green -Noganet Twins (NG-BTWINS29 VR),Auriculares Intrauditivos Bluetooth/Inalambricos,Noganet,Si,21.03,3,29.44,8.41,40.0
23625,NM-MIKO-B,Auricular c/microfono -manos libres -intrauditivos -TWS -Touch Control -bt 5.3 -bateria 30mAh c/estuche cargador bat 180mAh -cable usb type-C -ultra small -blue -Netmak (NM-MIKO-B),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,11.05,2,18.34,7.29,66.0
23626,NM-MIKO-G,Auricular c/microfono -manos libres -intrauditivos -TWS -Touch Control -bt 5.3 -bateria 30mAh c/estuche cargador bat 180mAh -cable usb type-C -ultra small -green -Netmak (NM-MIKO-G),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,11.48,2,19.06,7.58,66.0
23628,NM-MIKO-W,Auricular c/microfono -manos libres -intrauditivos -TWS -Touch Control -bt 5.3 -bateria 30mAh c/estuche cargador bat 180mAh -cable usb type-C -ultra small -white -Netmak (NM-MIKO-W),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,11.05,2,18.34,7.29,66.0
22814,NGX-BTWINS6 BL,Auricular c/microfono -manos libres -intrauditivos -TWS -bt 5.3 -bateria litio 30mAh c/estuche cargador bat 200mAh -c/cable usb a type-C -ultra small -gamer -baja latencia -white -Noganet Gaming Earbuds (NGX-BTWINS 6),Auriculares Intrauditivos Bluetooth/Inalambricos,Noganet,Si,16.82,3,23.55,6.73,40.0
22697,NM-BIZA,Auricular c/microfono -manos libres -intrauditivos -bt 5.0 -bateria litio 50mAh c/estuche cargador bat 500mAh -display digital -black/grey -Netmak (NM-BIZA),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,11.11,2,18.44,7.33,66.0
22699,NM-BIZA-B,Auricular c/microfono -manos libres -intrauditivos -bt 5.0 -bateria litio 50mAh c/estuche cargador bat 500mAh -display digital -blue/black -Netmak (NM-BIZA),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,11.11,2,18.44,7.33,66.0
24629,NM-BIZA-S,Auricular c/microfono -manos libres -intrauditivos -bt 5.0 -bateria litio 50mAh c/estuche cargador bat 500mAh -display digital -grey -Netmak (NM-BIZA-S),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,11.11,2,18.44,7.33,66.0
22700,NM-BIZA-P,Auricular c/microfono -manos libres -intrauditivos -bt 5.0 -bateria litio 50mAh c/estuche cargador bat 500mAh -display digital -pink/black -Netmak (NM-BIZA),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,11.11,2,18.44,7.33,66.0
22698,NM-BIZA-W,Auricular c/microfono -manos libres -intrauditivos -bt 5.0 -bateria litio 50mAh c/estuche cargador bat 500mAh -display digital -white/black -Netmak (NM-BIZA),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,11.11,2,18.44,7.33,66.0
23259,KAB-657 630477,Auricular c/microfono -manos libres -intrauditivos -bt 5.3 -bateria litio 30mAh -c/estuche cargador bat 200mAh -TWS -pink -Kolke (KAB-657 630477),Auriculares Intrauditivos Bluetooth/Inalambricos,Kolke,Si,8.87,2,14.72,5.85,66.0
23257,KAB-657 630478,Auricular c/microfono -manos libres -intrauditivos -bt 5.3 -bateria litio 30mAh -c/estuche cargador bat 200mAh -TWS -white -Kolke (KAB-657 630478),Auriculares Intrauditivos Bluetooth/Inalambricos,Kolke,Si,8.87,2,14.72,5.85,66.0
23250,31710023400,Auricular c/microfono -manos libres -intrauditivos -bt 5.3 -bateria litio 40mAh -c/estuche cargador bat 300mAh/usb type-c -TWS -black -Genius HS-M910BT (31710023400),Auriculares Intrauditivos Bluetooth/Inalambricos,Genius,Si,16.69,3,23.37,6.68,40.0
24638,NM-MELOW,Auricular c/microfono -manos libres -intrauditivos -bt 5.3 -c/estuche cargador 300mAh -touch -black -Netmak (NM-MELOW),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,8.34,2,13.84,5.50,66.0
24639,NM-MELOW-B,Auricular c/microfono -manos libres -intrauditivos -bt 5.3 -c/estuche cargador 300mAh -touch -blue -Netmak (NM-MELOW-B),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,8.34,2,13.84,5.50,66.0
24640,NM-MELOW-P,Auricular c/microfono -manos libres -intrauditivos -bt 5.3 -c/estuche cargador 300mAh -touch -pink -Netmak (NM-MELOW-P),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,8.34,2,13.84,5.50,66.0
