Codigo,Codigo_Fabricante,Descripcion,Rubro,Marca,Stock,Precio_Original_USD,Precio_Final_USD,Ganancia_Unitaria_USD,Margen_Porcentaje
24525,ARCHER TX10UB NANO,Adaptador wireless USB 287/600Mbps -dual band 2.4/5GHz -nano usb 2.0 -ultra veloz -wifi 6 -bluetooth 5.3 -antena omnidireccional -black -TP-Link AX900 (ARCHER TX10UB NANO),Conectividad Placas De Red,TP-Link,Si,12.62,20.95,8.33,66.0
22266,MW300UH,Adaptador wireless USB 300Mbps -2.4GHz -2 antenas MIMO -TP-Link (Mercusys) (MW300UH),Conectividad Placas De Red,Tp-Link (Mercusys),Si,8.20,13.61,5.41,66.0
6047,TL-WN722N,Adaptadpor Wireless USB -150Mbps -antena desmontable 4dbi -TP-Link (TL-WN722N),Conectividad Placas De Red,TP-Link,Si,10.29,17.08,6.79,66.0
16149,NKB-AIR-RGB,Air Mouse + control remoto + teclado -wireless 2.4ghz -sensor de movimiento + giroscopio -para pc-smart tv/android tv box/deco tv/tablet -Noganet Air Mouse (NKB-AIR-RGB),Teclados P/ SmartTV/Multidispositivo,Noganet,Si,8.28,13.74,5.46,66.0
24308,VINO0006,Aireador de Vino -decantador instantaneo -presentacion en caja elegante -c/base para copa -filtro de acero inoxidable -Gadnic (VINO0006),Bazar y Hogar,Gadnic,Si,12.50,20.75,8.25,66.0
23987,KVV-597 630275,Antena de TV digital -interior -HDTV -5 dbi -360 grad. omnidireccional -2.5C / 2V. -base magnetica -black -Kolke (KVV-597 630275),Electrodomesticos,Kolke,Si,6.39,10.61,4.22,66.0
24628,NM-APM,"Apoya Muñecas P/Teclado -gel -antideslizante -ergonomico -46,5 x 7 x 2 cm -black -Netmak (NM-APM)",Accesorios,Netmak,Si,6.95,11.54,4.59,66.0
24037,FOTO0037,Aro luz led -25cm -luz blanca natural / calida / fria -funcion multicolor RGB -c/accesorio p/celular -soporte de rotula -black -Gadnic SRG584 (FOTO0037),Accesorios,Gadnic,Si,13.33,22.13,8.80,66.0
20534,NM-RL1,"Aro luz led 10"" p/smarpthone -usb -3 tipos de iluminacion -control en cable -c/tripode y accesorio p/celular -white -Netmak (NM-RL1)",Accesorios y Gadgets Geeks,Netmak,Si,8.64,14.34,5.70,66.0
23851,AV000018,Aspiradora de mano p/auto -portatil -12v -80W -mojado y seco -filtro hepa -cable 3mts -black -Gadnic (AV000018),Electrodomesticos,Gadnic,Si,10.53,17.48,6.95,66.0
8498,31710146100,Auricular c/microfono -black -Genius HS-300N (31710146100),Auriculares Vincha c/cable,Genius,Si,8.36,13.88,5.52,66.0
16879,NM-B21,Auricular c/microfono -hi-fi -manos libres -bluetooth -incluye cable usb -black -Netmak Urban (NM-B21),Auriculares Vincha Bluetooth/Inalambricos,Netmak,Si,11.39,18.91,7.52,66.0
24506,31710030400/31730034,Auricular c/microfono -intrauditivo -usb type-c -cable 1.2mts -black -Genius HS-M365 (31710030400 / 31730030400),Auriculares Intrauditivos c/cable,Genius,Si,8.36,13.88,5.52,66.0
24507,31710030401,Auricular c/microfono -intrauditivo -usb type-c -cable 1.2mts -white -Genius HS-M365 (31710030401),Auriculares Intrauditivos c/cable,Genius,Si,8.36,13.88,5.52,66.0
23625,NM-MIKO-B,Auricular c/microfono -manos libres -intrauditivos -TWS -Touch Control -bt 5.3 -bateria 30mAh c/estuche cargador bat 180mAh -cable usb type-C -ultra small -blue -Netmak (NM-MIKO-B),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,11.05,18.34,7.29,66.0
23626,NM-MIKO-G,Auricular c/microfono -manos libres -intrauditivos -TWS -Touch Control -bt 5.3 -bateria 30mAh c/estuche cargador bat 180mAh -cable usb type-C -ultra small -green -Netmak (NM-MIKO-G),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,11.48,19.06,7.58,66.0
23628,NM-MIKO-W,Auricular c/microfono -manos libres -intrauditivos -TWS -Touch Control -bt 5.3 -bateria 30mAh c/estuche cargador bat 180mAh -cable usb type-C -ultra small -white -Netmak (NM-MIKO-W),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,11.05,18.34,7.29,66.0
22697,NM-BIZA,Auricular c/microfono -manos libres -intrauditivos -bt 5.0 -bateria litio 50mAh c/estuche cargador bat 500mAh -display digital -black/grey -Netmak (NM-BIZA),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,11.11,18.44,7.33,66.0
22699,NM-BIZA-B,Auricular c/microfono -manos libres -intrauditivos -bt 5.0 -bateria litio 50mAh c/estuche cargador bat 500mAh -display digital -blue/black -Netmak (NM-BIZA),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,11.11,18.44,7.33,66.0
24629,NM-BIZA-S,Auricular c/microfono -manos libres -intrauditivos -bt 5.0 -bateria litio 50mAh c/estuche cargador bat 500mAh -display digital -grey -Netmak (NM-BIZA-S),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,11.11,18.44,7.33,66.0
22700,NM-BIZA-P,Auricular c/microfono -manos libres -intrauditivos -bt 5.0 -bateria litio 50mAh c/estuche cargador bat 500mAh -display digital -pink/black -Netmak (NM-BIZA),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,11.11,18.44,7.33,66.0
22698,NM-BIZA-W,Auricular c/microfono -manos libres -intrauditivos -bt 5.0 -bateria litio 50mAh c/estuche cargador bat 500mAh -display digital -white/black -Netmak (NM-BIZA),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,11.11,18.44,7.33,66.0
23259,KAB-657 630477,Auricular c/microfono -manos libres -intrauditivos -bt 5.3 -bateria litio 30mAh -c/estuche cargador bat 200mAh -TWS -pink -Kolke (KAB-657 630477),Auriculares Intrauditivos Bluetooth/Inalambricos,Kolke,Si,8.87,14.72,5.85,66.0
23257,KAB-657 630478,Auricular c/microfono -manos libres -intrauditivos -bt 5.3 -bateria litio 30mAh -c/estuche cargador bat 200mAh -TWS -white -Kolke (KAB-657 630478),Auriculares Intrauditivos Bluetooth/Inalambricos,Kolke,Si,8.87,14.72,5.85,66.0
24638,NM-MELOW,Auricular c/microfono -manos libres -intrauditivos -bt 5.3 -c/estuche cargador 300mAh -touch -black -Netmak (NM-MELOW),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,8.34,13.84,5.50,66.0
24639,NM-MELOW-B,Auricular c/microfono -manos libres -intrauditivos -bt 5.3 -c/estuche cargador 300mAh -touch -blue -Netmak (NM-MELOW-B),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,8.34,13.84,5.50,66.0
24640,NM-MELOW-P,Auricular c/microfono -manos libres -intrauditivos -bt 5.3 -c/estuche cargador 300mAh -touch -pink -Netmak (NM-MELOW-P),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,8.34,13.84,5.50,66.0
24641,NM-MELOW-V,Auricular c/microfono -manos libres -intrauditivos -bt 5.3 -c/estuche cargador 300mAh -touch -violet -Netmak (NM-MELOW-V),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,8.34,13.84,5.50,66.0
24642,NM-MELOW-W,Auricular c/microfono -manos libres -intrauditivos -bt 5.3 -c/estuche cargador 300mAh -touch -white -Netmak (NM-MELOW-W),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,8.34,13.84,5.50,66.0
23641,630597,Auricular c/microfono -manos libres -intrauditivos -bt 5.3 -luz led -bateria litio 30mAh -c/estuche cargador bat 200mAh y display -TWS -black -Kolke (KAB-683 630597),Auriculares Intrauditivos Bluetooth/Inalambricos,Kolke,Si,11.54,19.16,7.62,66.0
24634,NM-GUMY,Auricular c/microfono -manos libres -intrauditivos -bt 5.3 -tiempo de uso 3hs -c/estuche cargador -touch -black -Netmak (NM-GUMY),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,8.34,13.84,5.50,66.0
24635,NM-GUMY-P,Auricular c/microfono -manos libres -intrauditivos -bt 5.3 -tiempo de uso 3hs -c/estuche cargador -touch -pink -Netmak (NM-GUMY-P),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,8.34,13.84,5.50,66.0
24636,NM-GUMY-W,Auricular c/microfono -manos libres -intrauditivos -bt 5.3 -tiempo de uso 3hs -c/estuche cargador -touch -white -Netmak (NM-GUMY-W),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,8.34,13.84,5.50,66.0
23254,31710027400,Auricular c/microfono -monoaural -c/control de volumen -cable usb 2mts -black -Genius HS-100u (31710027400),Auriculares Vincha c/cable,Genius,Si,11.70,19.42,7.72,66.0
14965,NG-8620,Auricular c/microfono -pc/mp3 -gamer -sonido 3d -black/red -Noganet (NG-8620),Auriculares Vincha c/cable,Noganet,Si,9.43,15.65,6.22,66.0
24003,NM-FAST,Auricular c/microfono -tecnologia OWS (no bloquea el canal auditivo) -bt 5.3 + EDR -c/estuche cargador -black -Netmak (NM-FAST),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,12.96,21.51,8.55,66.0
24002,NM-SPIRIT,Auricular c/microfono -tecnologia OWS (no bloquea el canal auditivo) -bt 5.3 + EDR -c/estuche cargador -black -Netmak (NM-SPIRIT),Auriculares Intrauditivos Bluetooth/Inalambricos,Netmak,Si,12.96,21.51,8.55,66.0
24005,31710021403,Auricular c/microfono -usb type-c -ajustable -cable 2.4m -black -Genius HS-230U (31710021403),Auriculares Vincha c/cable,Genius,Si,12.41,20.60,8.19,66.0
24315,BALANZ11,Balanza de cocina -digital -2 pilas AAA (no incluidas) -1Gr A 5Kg -display LCD -c/bowl -white -Gadnic G11 (BALANZ11),Bazar y Hogar,Gadnic,Si,13.41,22.26,8.85,66.0
23995,NM-HS430,Base p/Auricular -iluminacion RGB -usb -antideslizante -black -Netmak (NM-HS430),Accesorios,Netmak,Si,11.22,18.63,7.41,66.0
23911,SOP00009,"Base p/notebook 10"" a 15.6"" -6 niveles de ajuste -aluminio -Gadnic (SOP00009)",Notebooks/Tablets - Accesorios,Gadnic,Si,13.32,22.11,8.79,66.0
24300,SOP00080,Base p/notebook y monitor -mesa -max.20kg -metal -antideslizante -ventilacion -black -Gadnic Jgiy978 (SOP00080),Notebooks/Tablets - Accesorios,Gadnic,Si,12.34,20.48,8.14,66.0
24502,31250020400,"Base p/notebook y tablets 10"" a 17"" -6 niveles de ajuste -plegable -plastico -black -Genius G-Stand M200 (31250020400)",Notebooks/Tablets - Accesorios,Genius,Si,10.80,17.93,7.13,66.0
17473,PRNH-9V250-SPB,Bateria recargable 9V -250mAh -1 unidad -Probattery (PRNH-9V250-SPB),Pilas y Cargadores de Pilas,Probattery,Si,8.93,14.82,5.89,66.0
24079,GLII-BATI-AUTO,Batidor Smart Mixer -3 velocidades -ABS -resistente al calor -4 pilas AA (no incluidas) -Gliivo (GLII-BATI-AUTO),Accesorios y Gadgets Geeks,Gliivo,Si,11.85,19.67,7.82,66.0
13371,HDMI-10 M/M 1.4,Cable HDMI M/M v1.4 -10mts -4K -1080p -conectores dorados -Noganet (HDMI-10M/m 1.4),Cables Video (Hdmi-Vga-Dvi-DisplayPort),Noganet,Si,6.72,11.16,4.44,66.0
15744,NM-C47 15,Cable HDMI M/M v1.4 -15mts -1080p -c/filtro -Netmak (NM-C47 15),Cables Video (Hdmi-Vga-Dvi-DisplayPort),Netmak,Si,10.66,17.70,7.04,66.0
24323,CAJA0005,Caja fuerte -diseño simil libro -Gadnic E2 (CAJA0005),Manejo De Dinero,Gadnic,Si,9.32,15.47,6.15,66.0
22747,FRLI-432-CP1,Cargador de Pilas -p/4 pilas AA - AAA -2x pilas 9V de canal individual -NiNh/NiCd -black -Probattery Pro1 (FRLI-432-CP1),Pilas y Cargadores de Pilas,Probattery,Si,11.81,19.60,7.79,66.0
24626,NG-6000C,Cargador de pilas AA/AAA -4 celdas -Ni-Cd/NiMH -usb-c -white -Noga (NG-6000C),Pilas y Cargadores de Pilas,Noganet,Si,7.65,12.70,5.05,66.0
22310,NM-CH4,Cargador de pilas AA/AAA -4 celdas -c/cable usb -Netmak (NM-CH4),Pilas y Cargadores de Pilas,Netmak,Si,7.65,12.70,5.05,66.0
23865,CWIR0007,Cargador inalambrico -10W -cable type-c -diseño antideslizante -proteccion sobrecarga/sobrecalentamiento -black -Gadnic (CWIR0007),Cargadores y Fuentes,Gadnic,Si,11.30,18.76,7.46,66.0
23921,NM-BC12,Cargador inalambrico -tecnologia Qi -10W -cable USB type-C -indicador led -black -Netmak (NM-BC12),Cargadores y Fuentes,Netmak,Si,7.05,11.70,4.65,66.0
19800,KCSW-USB5300NF,Cargador p/dispositivos usb -220v -3A -5v -1 x usb -sin cable -black -Probattery (KCSW-USB5300NF),Cargadores y Fuentes,Probattery,Si,7.15,11.87,4.72,66.0
23116,630440,Cargador p/dispositivos usb type-c -220v -3A -carga rapida 30W -homologado -black -Kolke (KCR-648 630440),Cargadores y Fuentes,Kolke,Si,7.64,12.68,5.04,66.0
23117,630441,Cargador p/dispositivos usb type-c -220v -3A -carga rapida 30W -homologado -white -Kolke (KCR-648 630441),Cargadores y Fuentes,Kolke,Si,7.85,13.03,5.18,66.0
23592,NM-CASE-5,Carry Disk externo ssd M.2 -sata/ngff -type c usb 3.2 a usb 3.0 -5Gbps -2TB -aluminio -Netmak (NM-CASE-5),Carry Disk,Netmak,Si,9.93,16.48,6.55,66.0
23594,NM-CASE-7,Carry Disk externo ssd M.2 NVMe -ngff/sata -type c usb 3.2 a usb 3.0 -10Gbps -4TB -aluminio -Netmak (NM-CASE-7),Carry Disk,Netmak,Si,13.11,21.76,8.65,66.0
23593,NM-CASE-6,Carry Disk externo ssd M.2 NVMe -type c usb 3.2 a usb 3.0 -10Gbps -4TB -aluminio -Netmak (NM-CASE-6),Carry Disk,Netmak,Si,10.57,17.55,6.98,66.0
1644,GN-HP21,Cartucho p/HP C9351A -HP 21 -22ml -black -Gneiss (GN-HP21),Cartuchos Alternativos Hp,Gneiss,Si,11.08,18.39,7.31,66.0
9894,FASW-123000F-2,Cctv fuente de alimentacion -12v 3A -plug intercambiable + 2 fichas -Probattery (FASW-123000F-2),Seguridad Video Accesorios,Probattery,Si,11.22,18.63,7.41,66.0
24623,DOMO-78,Cerradura Biometrica p/Cajones -wireless 2.4GHz -hasta 20 huellas digitales -3 pilas AA (no incluidas) -puerto USB-C -control por App -Demasled (DOMO-78),Bazar y Hogar,Demasled,Si,10.22,16.97,6.75,66.0
24545,417528,Conector Plug RJ45 Cat6 -50 unidades -Kelyx (0417528),Conectividad Accesorios,Kelyx,Si,6.73,11.17,4.44,66.0
19269,POCKY-R8 NG,"Consola de juegos portatil -400 juegos -lcd 3"" -8bits -c/cable av -bat. recargable 850mAh -black -Noganet (POCKY R8)",Consolas De Juego,Noganet,Si,13.10,21.75,8.65,66.0
19270,POCKY-R8 ROJO,"Consola de juegos portatil -400 juegos -lcd 3"" -8bits -c/cable av -bat. recargable 850mAh -red -Noganet (POCKY R8)",Consolas De Juego,Noganet,Si,13.10,21.75,8.65,66.0
24584,GS-1000,Controladora de cooler -9 fanes ARGB PWM -control remoto multifucion -iluminacion led interior -cubierta magnetica -compacta -black -Sentey ARGB PWM Fan Control (GS-1000),Ventiladores,Sentey,Si,7.19,11.94,4.75,66.0
21978,NM-TC66,Conversor type-C a HDMI M/H -cable 10cm -black -Netmak (NM-TC66),Cables Video (Hdmi-Vga-Dvi-DisplayPort),Netmak,Si,9.46,15.70,6.24,66.0
24583,GS-1170,Cooler 120x120mm -4 pines -iluminacion led ARGB -black -Sentey Fan Cooler F70 ARGB (GS-1170),Ventiladores,Sentey,Si,7.16,11.89,4.73,66.0
24582,GS-1180,Cooler 120x120mm -4 pines -iluminacion led ARGB -black -Sentey Fan Cooler F80 ARGB (GS-1180),Ventiladores,Sentey,Si,6.45,10.71,4.26,66.0
24481,MFW-B2DN-17NPA-R1,Cooler 120x120mm -650/1750 RPM -4 pines -iluminacion led ARGB -black/white -Cooler Master Masterfan Mf120 Lite Argb (MFW-B2DN-17NPA-R1),Ventiladores,Cooler Master,Si,12.87,21.36,8.49,66.0
24430,NM-Q120,Cooler 120x120mm c/disipador termico 100W -rodamiento hidraulico -2100 RPM -3 pines -Amd/Intel -black/white -Netmak (NM-Q120),Ventiladores,Netmak,Si,9.49,15.75,6.26,66.0
24431,NM-Q90,Cooler 90x90mm c/disipador termico 100W -rodamiento hidraulico -2100 RPM -3 pines -Amd/Intel -black -Netmak (NM-Q90),Ventiladores,Netmak,Si,8.31,13.79,5.48,66.0
24361,KNIFE017,Cuchillo de chef -borde afilado -acero inoxidable -2mm -Cuk By Gadnic Nex38 (KNIFE017),Bazar y Hogar,Gadnic,Si,8.76,14.54,5.78,66.0
24293,KNIFE015,Cuchillo de chef forjado -acero inoxidable -c/funda de cuero -Cuk By Gadnic (KNIFE015),Bazar y Hogar,Gadnic,Si,11.19,18.58,7.39,66.0
23874,DIFU0001,Difusor portatil ultrasonico -bat. recargable -24 V -humidificador -aromatizante -300ml -16 modos de luz -7 colores -control remoto -white -Gadnic (DIFU0001),Accesorios y Gadgets Geeks,Gadnic,Si,12.55,20.83,8.28,66.0
24318,JABMES06,Dispenser de jabon liquido p/baño y cocina -500ml -acero inoxidable -diseño de pared -Gadnic (JABMES06),Bazar y Hogar,Gadnic,Si,10.60,17.60,7.00,66.0
23875,DRGAD08R,Drone Mini Ufo -distancia de induccion 30 cm -c/control luz led -interactivo -micro usb bat. recargable 30min -autonomia 5 a 7min -red/blue -Gadnic MINI DRON UF360 (DRGAD08R),Drone,Gadnic,Si,13.37,22.19,8.82,66.0
24499,DOMO-53,Enchufe tomacorriente smart -wifi 2.4GHz -10A -2200W -white -Demasled (DOMO-53),Iluminacion,Demasled,Si,8.17,13.56,5.39,66.0
23650,DOMO-54,Enchufe tomacorriente smart -wifi 2.4GHz -monitoreo de consumo -10A -2200W -white -Demasled (DOMO-54),Iluminacion,Demasled,Si,8.75,14.53,5.78,66.0
23545,FAP-35-12V,Fuente de Alimentación Switching 12V 36W 3A -50/60 Hz -Aluminio -Interior -Demasled (FAP-35-12V),Seguridad Video Accesorios,Demasled,Si,6.43,10.67,4.24,66.0
4417,NOGA-79,Fuente multiple voltaje -in 220v -out 1.5 a 12v -800mA 9.6va -7 conectores -Noganet (NOGA-79),Cargadores y Fuentes,Noganet,Si,11.20,18.59,7.39,66.0
15590,NOGA-105,Fuente multiple voltaje -in 220v -out 3 a 12v -500mA 3.6va -6 conectores -Noganet (NOGA-105),Cargadores y Fuentes,Noganet,Si,8.09,13.43,5.34,66.0
23177,GUI-01-05M-N1,Guirnalda para Exteriores E27 7 Zócalos x5m -Trefi 02002 (GUI-01-05M-N1),Iluminacion,Demasled,Si,9.03,14.99,5.96,66.0
24008,31240002400,Hub type C -4x usb 3.0 -5Gbps -plug and play -black -Genius UH-400 (31240002400),Placas / Puertos / Controladoras / Hub usb,Genius,Si,9.47,15.72,6.25,66.0
20237,UH400,Hub usb 3.0 -4 puertos -incluye cable -compacto -black -TP-Link (UH400),Placas / Puertos / Controladoras / Hub usb,TP-Link,Si,8.21,13.63,5.42,66.0
24632,NM-DF3,Humidificador Difusor portatil ultrasonico -usb-c -aromatizante -100ml -iluminacion LED 7 colores -compatible aceites -white -Netmak (NM-DF3),Bazar y Hogar,Netmak,Si,11.41,18.94,7.53,66.0
21210,NM-TURBO,Joystick PC -dualshock -usb -cable 1.56mts -black -Netmak (NM-TURBO),Joystick,Netmak,Si,11.47,19.04,7.57,66.0
6452,NG-2131,Joystick game pad -p/pc -d-shock -usb -black -Noganet (NG-2131),Joystick,Noganet,Si,7.08,11.75,4.67,66.0
4026,NG-3004,Joystick game pad -p/ps2 -12 botones programables -vibration -black -Noganet (NG-3004),Joystick,Noganet,Si,7.76,12.88,5.12,66.0
24138,NHK-207 630559,Kit de destornilladores de precision -115 piezas -c/caja de transporte -ergonomico -plastico y acero inoxidable -Nappo (NHK-207 630559),Herramientas,Nappo,Si,11.57,19.21,7.64,66.0
24335,LIMPTEC3,Kit de limpieza 20 en 1 p/dispositivos -compacto y portatil -Gadnic DSA751 (LIMPTEC3),Herramientas,Gadnic,Si,9.91,16.45,6.54,66.0
23207,NHK-114 630223,Kit de llaves combinadas -46 piezas -c/caja -Nappo (NHK-114 630223),Herramientas,Nappo,Si,7.42,12.32,4.90,66.0
23949,NHK-237 630663,Kit de llaves tubo combinadas -53 piezas -c/caja -Nappo (NHK-237 630663),Herramientas,Nappo,Si,11.66,19.36,7.70,66.0
24565,KPARRI01,Kit p/parrilla -5 piezas -acero inoxidable -c/maletin -Cuk by Gadnic Kp5.0 (KPARRI01),Bazar y Hogar,Gadnic,Si,13.10,21.75,8.65,66.0
23894,LUNA0004,Lampara Velador Twinkle -USB -1.5W -luz blanca y calida -soporte madera -Gadnic Star (LUNA0004),Iluminacion,Gadnic,Si,11.08,18.39,7.31,66.0
21994,IL-VEL.DL022-N,Lampara de escritorio -3w -100 lumenes -3 modos -cuello regulable -sensor tactil -4 pilas AA (no incluye) -cable usb 1mts -black -Probattery (IL-VEL.DL022-N),Iluminacion,Probattery,Si,6.50,10.79,4.29,66.0
21995,IL-VEL.DL037-B,Lampara de escritorio -3w -100 lumenes -cuello regulable -sensor tactil -4 pilas AAA (no incluye)-cable usb -base c/luz led RGB -white -Probattery (IL-VEL.DL037-B),Iluminacion,Probattery,Si,7.60,12.62,5.02,66.0
23171,GU10-15RGBW-A2,Lampara led smart wifi -conector dicroico MR16 -GU10 -5w -400Lm -RGB + blanco -2700k-6500k -escenas/music flash -Demasled Trefilight (7GUSM0005),Iluminacion,Demasled,Si,11.66,19.36,7.70,66.0
23688,ILRA?DINO,Lampara recargable -rgb -silicona -diseño dinosaurio -Probattery (ILRA?DINO),Iluminacion,Probattery,Si,10.96,18.19,7.23,66.0
22925,ILRA-OSITO,Lampara recargable -rgb -silicona -diseño osito -Probattery (ILRA-OSITO),Iluminacion,Probattery,Si,8.36,13.88,5.52,66.0
23687,ILRA?PINGUINO,Lampara recargable -rgb -silicona -diseño pingüino -Probattery (ILRA?PINGUINO),Iluminacion,Probattery,Si,13.15,21.83,8.68,66.0
23500,NM-502,Lampara velador proyector de galaxia y estrellas -led rgbw -4 colores combinables -parlante bluetooth -usb 2.0 -Netmak (NM-502),Iluminacion,Netmak,Si,13.31,22.09,8.78,66.0
24448,ROCKET01,Lanzacohetes p/niños -plastico y goma espuma -alcance 30 mts -c/bomba lanzadora + 3x cohetes -Gadnic Rk1 (ROCKET01),Jugueteria,Gadnic,Si,13.37,22.19,8.82,66.0
22416,ILRE-PL17,Linterna recargable 1 led 3w -120 lumenes -8hrs de autonomia -4 modos -bat 1200mAh -c/cable de carga usb -Probattery (ILRE-PL17),Iluminacion,Probattery,Si,9.68,16.07,6.39,66.0
23661,IE-3001,Luz de emergencia 30 leds -c/soporte -8hs -Probattery (IE-3001),Iluminacion,Probattery,Si,10.45,17.35,6.90,66.0
23662,IE-3002,Luz de emergencia 60 leds -c/soporte -10hs -Probattery (IE-3002),Iluminacion,Probattery,Si,13.41,22.26,8.85,66.0
23898,MANT0001,Manta Antiestatica p/reparacion de celulares -30x45cm -hasta 500°C -magnetica -silicona -light blue -Gadnic (MANT0001),Herramientas,Gadnic,Si,12.64,20.98,8.34,66.0
24030,MANT0002,Manta Antiestatica p/reparacion de celulares -35x25cm -hasta 500°C -magnetica -silicona -light blue -Gadnic (MANT0002),Herramientas,Gadnic,Si,6.63,11.01,4.38,66.0
24476,SDCS2/128GB,Memoria microSDHC 128gb -class 10 UHS-I -100MB/s -c/adaptador a SD -Kingston Canvas Select Plus (SDCS2/128GB),Memorias Flash,Kingston,Si,9.04,15.01,5.97,66.0
24478,SDCG3/64GB,"Memoria microSDXC 64gb -UHS-I, U3, V30, A2 -c/adaptador a SD -Kingston Canvas GO+ (SDCG3/64GB)",Memorias Flash,Kingston,Si,7.65,12.70,5.05,66.0
